"Artist","Song","Популярность в США","Популярность в СНГ"
"Red","Ivy Rye","1.13","0.25"
"Ocean Grove","Boston Manor","2.21","0.2"
"Stigmata","PVRIS","2.36","0.03"
"Кино","Fever 333","1.13","0.22"
"Баста","Asking Alexandria","1.55","0.06"
"Каста","Bush","1.5","0.24"
"Oxxymiron","He-Nis-Ra","0.49","1.51"
"Motionless in White","Nova Twins","0.6","0.52"
"Falling in Reverse","Kill Everybody","2.29","0.19"
"The Killers","Unsainted","0.13","2.05"
"Halfives","Through the Glass","1.28","0.01"
"Каста","Afterlife","0.86","0.39"
"Oxxymiron","Animal I have become","1.84","0.09"
"Motionless in White","Fever","1.29","0.23"
"Каста","Anastasia","1.81","0.15"
"Oxxymiron","Raining Blood","1.15","0.39"
"Motionless in White","Bleeding","1.38","0.25"
"Каста","Smells like Teen Spirit","1.15","0.13"
"Oxxymiron","Highway to Hell","1.72","0.27"
"Nirvana","Smoke on the Water","1.93","0.21"
"AC/DC","Brick in the Wall","2.1","0.17"
"Led Zeppelin","You are not Alone","1.13","0.07"
"Led Zeppelin","Hysteria","1.67","0.2"
"Deep Purple","Kill Everybody","1.55","0.31"
"Michael Jackson","Unsainted","0","0.02"
"Muse","Through the Glass","0.93","0.06"
"Skrillex","Silverstein","2.12","0.07"
"Slipknot","Apocalyptica","1.44","0.22"
"Stone Sour","Captives","0.87","0.59"
"Avenged Sevenfold","Nightwish","1.07","0.18"
"Three Days Grace","Moonspell","1.52","0.1"
"Apocalyptica","Machine Head","1.56","0.23"
"Lumen","Machine Head","1.26","0.08"
"Biffy Clyro","Viscera","1.27","0.05"
"Alazka","Phantogram","0.29","0.41"
"Greenday","Ivy Rye","1.63","0.06"
"Ozzy Osbourne","Boston Manor","2.07","0.08"
"Body Count","PVRIS","0.81","0.14"
"Heaven Shall Burn","Fever 334","1.43","0.22"
"Blind Channel","Asking Alexandria","0.69","1.68"
"A War Within","Bush","2.07","0.26"
"Mayday Parade","He-Nis-Ra","2.1","0.07"
"Silverstein","Nova Twins","0.77","0.03"
"Apocalyptica","Kill Everybody","2.3","0"
"Lumen","Unsainted","2.15","0.07"
"Biffy Clyro","Through the Glass","0.49","0.36"
"Alazka","Afterlife","1.74","0.18"
"Greenday","Animal I have become","1.54","0.22"
"Mayday Parade","Fever","1.49","0.1"
"Silverstein","Anastasia","1.07","0.4"
"Apocalyptica","Raining Blood","1.48","0.2"
"Lumen","Bleeding","1.67","0.07"
"Mayday Parade","Smells like Teen Spirit","1.02","0.39"
"Silverstein","Highway to Hell","1.73","0.18"
"Apocalyptica","Smoke on the Water","1.94","0.02"
"Five Finger Death Punch","Brick in the Wall","1","0.36"
"Fozzy","You are not Alone","1.46","0.37"
"Bon Jovi","Hysteria","2.04","0.19"
"Motionless in White","Kill Everybody","1.16","0.3"
"Falling in Reverse","Unsainted","2.18","0.18"
"Metallica","Through the Glass","2.28","0"
"Korn","Silverstein","0.96","0.3"
"IAMX","Apocalyptica","1.25","0.26"
"Caligula's Horse","Captives","2.03","0.21"
"Каста","Nightwish","1.38","0.22"
"Oxxymiron","Moonspell","0.69","0.05"
"Nirvana","Machine Head","1.07","0.23"
"AC/DC","Machine Head","1.39","0.08"
"Led Zeppelin","Viscera","0","0.01"
"Led Zeppelin","Phantogram","1.68","0.2"
"Deep Purple","Ivy Rye","1.32","0.2"
"Michael Jackson","Boston Manor","0.92","1.41"
"Muse","PVRIS","1.2","0.24"
"Skrillex","Fever 335","1.08","0.21"
"Slipknot","Asking Alexandria","1.27","0.2"
"Stone Sour","Bush","1.14","0.17"
"Avenged Sevenfold","He-Nis-Ra","1.93","0.24"
"Three Days Grace","Nova Twins","1.57","0.19"
"Apocalyptica","Kill Everybody","0.78","0.07"
"Lumen","Unsainted","0.79","0.14"
"Biffy Clyro","Through the Glass","0.85","0.32"
"Alazka","Afterlife","0.52","0.13"
"Greenday","Animal I have become","1.58","0.09"
"Ozzy Osbourne","Fever","0.28","0.01"
"Body Count","Anastasia","1.65","0.1"
"Heaven Shall Burn","Raining Blood","1.24","0.21"
"Blind Channel","Bleeding","0.95","0.29"
"A War Within","Smells like Teen Spirit","0.95","0.18"
"Mayday Parade","Highway to Hell","1.08","0.31"
"Silverstein","Smoke on the Water","0.91","0.13"
"Apocalyptica","Brick in the Wall","1.23","0.34"
"Lumen","You are not Alone","1.38","0.1"
"Biffy Clyro","Hysteria","0.3","0.26"
"Alazka","Kill Everybody","1.11","0.2"
"Greenday","Unsainted","0","0"
"Michael Jackson","Through the Glass","0.51","0.02"
"Muse","Silverstein","0.38","1.82"
"Skrillex","Apocalyptica","1.01","0.37"
"Slipknot","Captives","1.05","0.36"
"Stone Sour","Nightwish","0.07","0.18"
"Avenged Sevenfold","Moonspell","1.12","0.12"
"Three Days Grace","Machine Head","1.34","0.31"
"Bullet for my Valentine","Machine Head","1.07","0.24"
"Slash","Viscera","1.22","0.04"
"Slayer","Phantogram","0.9","0.09"
"Five Finger Death Punch","Ivy Rye","1.4","0.3"
"Fozzy","Boston Manor","1.19","0.23"
"Bon Jovi","PVRIS","1.34","0.21"
"Motionless in White","Fever 336","0.28","0.32"
"Falling in Reverse","Asking Alexandria","0.62","0.13"
"Metallica","Bush","1.52","0.08"
"Korn","He-Nis-Ra","1.48","0.06"
"IAMX","Nova Twins","1.93","0.17"
"Oxxymiron","Kill Everybody","0.67","0.11"
"Nirvana","Unsainted","0.51","0.32"
"AC/DC","Through the Glass","1.19","0.13"
"Led Zeppelin","Afterlife","1.29","0.11"
"Led Zeppelin","Animal I have become","1.74","0.03"
"Deep Purple","Fever","1.42","0.21"
"Michael Jackson","Anastasia","1.09","0.28"
"Muse","Raining Blood","1.27","0.16"
"Skrillex","Bleeding","0.88","0.31"
"Slipknot","Smells like Teen Spirit","1.71","0.18"
"Stone Sour","Highway to Hell","1","0.13"
"Avenged Sevenfold","Smoke on the Water","1.03","0.21"
"Alazka","Brick in the Wall","1.45","0.19"
"Greenday","You are not Alone","1.47","0.19"
"Ozzy Osbourne","Hysteria","1.06","0.28"
"Body Count","Kill Everybody","1.78","0.18"
"Heaven Shall Burn","Unsainted","2.06","0.02"
"Blind Channel","Through the Glass","2.01","0.17"
"A War Within","Silverstein","1.11","0.23"
"Mayday Parade","Apocalyptica","0.15","0"
"Silverstein","Smells like Teen Spirit","1.28","0.21"
"Apocalyptica","Highway to Hell","1.06","0.23"
"Captives","Smoke on the Water","0.34","0.33"
"Nightwish","Brick in the Wall","1.17","0.22"
"Moonspell","You are not Alone","1.68","0.08"
"Machine Head","Hysteria","0.87","0.05"
"Machine Head","Kill Everybody","1.04","0.13"
"Viscera","Unsainted","0.59","0.45"
"Phantogram","Through the Glass","0","0.01"
"Ivy Rye","Afterlife","1.92","0.06"
"Boston Manor","Animal I have become","1.21","0.17"
"PVRIS","Fever","1.97","0.13"
"Fever 334","Anastasia","1.29","0.12"
"Asking Alexandria","Raining Blood","1.48","0.06"
"Bush","Bleeding","1.27","0.2"
"He-Nis-Ra","Sandpaper","1.6","0.03"
"Nova Twins","It's My Life","0.48","0.02"
"Nirvana","Headache","1.23","0.1"
"AC/DC","Silence","1.51","0.18"
"Led Zeppelin","One","1.5","0.08"
"Deep Purple","Cold","0.54","0.32"
"Michael Jackson","Solway Firth","0.14","0"
"Muse","Why not?","0.6","0.14"
"Skrillex","Stop it","0.52","0.59"
"Slipknot","I can't take this anymore","0.66","0.03"
"Stone Sour","Snow","0.01","0"
"Avenged Sevenfold","Hello","1.47","0.1"
"Three Days Grace","Here we go again","1.2","0.1"
"Bullet for my Valentine","Incredible","1.99","0.02"
"Slash","Summer","1.04","0.27"
"Slayer","Cold Reader","0.64","0.08"
"Five Finger Death Punch","Well","0.82","0.05"
"Fozzy","Группа крови","0.59","0.33"
"Bon Jovi","Мама","0.93","0.21"
"Motionless in White","Вокруг шум","0.91","0.09"
"Falling in Reverse","А я и не знал","1.47","0.11"
"Metallica","WTF?","1.37","0.09"
"Korn","Deutschland","0.83","0.04"
"IAMX","New-York","1.61","0.18"
"Caligula's Horse","Clown","1.2","0.29"
"The Killers","Nice boobs","1.68","0.03"
"Halfives","I don't want this","0.11","0.26"
"Blueshift","Anymore","1.68","0.09"
"Soilwork","Rufuss","0.9","0.13"
"Soul Extract","Mann","1.35","0.2"
"Infant Annihilator","Stupid things","0.63","0.13"
"Red","You're strange","1.63","0.15"
"Ocean Grove","Zombie","0.94","0.04"
"Stigmata","Plague","1.17","0.22"
"Кино","No more","1.54","0.07"
"Баста","Спокойная ночь","1.77","0.18"
"Каста","Моя игра","1.41","0.17"
"Oxxymiron","Smells like Teen Spirit","0.99","0.19"
"Emmure","Highway to Hell","0","0.14"
"RAMMSTEIN","Smoke on the Water","1.16","0.2"
"Emograte","Brick in the Wall","1.26","0.18"
"Oomph!","You are not Alone","1.84","0.13"
"Fit for a King","Hysteria","1.97","0.12"
"Code Orange","Kill Everybody","0.92","0.22"
"Aviators","Unsainted","0.7","0.32"
"Kodaline","Through the Glass","0.46","0.25"
"Led Zeppelin","Afterlife","1.77","0"
"Deep Purple","Animal I have become","1.11","0.27"
"Michael Jackson","Fever","0.63","0.39"
"Muse","Anastasia","1.36","0.2"
"Ocean Grove","Raining Blood","0.97","0.06"
"Stigmata","Bleeding","0.59","0.36"
"Кино","Sandpaper","2.04","0"
"Баста","It's My Life","0.89","0.11"
"Bullet for my Valentine","Headache","0.79","0.35"
"Slash","Silence","1.54","0.08"
"Slayer","One","0.63","0.26"
"Five Finger Death Punch","Cold","1.48","0.19"
"Fozzy","Solway Firth","0.75","0.23"
"Bon Jovi","Why not?","1.64","0.07"
"Motionless in White","Stop it","1.04","0.22"
"Falling in Reverse","I can't take this anymore","0.73","0.34"
"The Killers","Snow","1.2","0.19"
"Halfives","Hello","0.71","0.08"
"Blueshift","Here we go again","1.15","0.1"
"Soilwork","Incredible","0.68","0.13"
"Soul Extract","Summer","1.06","0.25"
"Infant Annihilator","Cold Reader","0.89","0.13"
"Red","Well","0.73","0.37"
"Ocean Grove","Группа крови","1.23","0.19"
"Stigmata","Мама","1.43","0.25"
"Кино","Вокруг шум","1.16","0"
"Баста","А я и не знал","1.47","0.06"
"Каста","WTF?","0.71","0.35"
"Oxxymiron","Deutschland","1.75","0.05"
"Motionless in White","New-York","0.48","0.25"
"Falling in Reverse","Clown","1.11","0.14"
"The Killers","Nice boobs","1.45","0.16"
"Halfives","I don't want this","0.73","0.23"
"Каста","Anymore","1.74","0.28"
"Oxxymiron","Rufuss","0.71","0.31"
"Motionless in White","Mann","1.2","0.07"
"Каста","Stupid things","0.58","0.37"
"Oxxymiron","You're strange","1.53","0.25"
"Motionless in White","Zombie","1.25","0.05"
"Каста","Plague","1.47","0.16"
"Oxxymiron","No more","1.57","0.27"
"Nirvana","Спокойная ночь","1.05","0.3"
"AC/DC","Моя игра","1.81","0.15"
"Led Zeppelin","Smells like Teen Spirit","1.76","0.17"
"Led Zeppelin","Highway to Hell","0.82","0.18"
"Deep Purple","Smoke on the Water","0.49","0.25"
"Michael Jackson","Brick in the Wall","1.2","0.18"
"Muse","You are not Alone","0.77","0.37"
"Skrillex","Hysteria","0.89","0.13"
"Slipknot","Kill Everybody","0.35","0.33"
"Stone Sour","Unsainted","0.52","0.03"
"Avenged Sevenfold","Through the Glass","1.48","0.22"
"Three Days Grace","Afterlife","0.95","0.13"
"Apocalyptica","Animal I have become","0.75","0.04"
"Lumen","Fever","1.21","0.09"
"Biffy Clyro","Anastasia","0.75","0.12"
"Alazka","Raining Blood","0.93","0.04"
"Greenday","Bleeding","1.25","0.16"
"Ozzy Osbourne","Sandpaper","1.11","0.16"
"Body Count","It's My Life","0.72","0.32"
"Heaven Shall Burn","Headache","0.99","0.18"
"Blind Channel","Silence","0.74","0.28"
"A War Within","One","1.2","0.19"
"Mayday Parade","Cold","0.71","0.17"
"Silverstein","Solway Firth","1.01","0.3"
"Apocalyptica","Why not?","1.84","0.02"
"Lumen","Stop it","1.22","0.15"
"Biffy Clyro","I can't take this anymore","0.5","0.33"
"Alazka","Snow","1.13","0.05"
"Greenday","Hello","0.18","0.02"
"Mayday Parade","Here we go again","0.79","0.08"
"Silverstein","Incredible","1.09","0.2"
"Apocalyptica","Summer","1.3","0.16"
"Lumen","Cold Reader","0.74","0.2"
"Mayday Parade","Well","1.26","0.09"
"Silverstein","Группа крови","1.09","0.09"
"Apocalyptica","Мама","1.69","0.06"
"Five Finger Death Punch","Вокруг шум","0.95","0.25"
"Fozzy","А я и не знал","0.49","0.18"
"Bon Jovi","WTF?","1.94","0"
"Motionless in White","Deutschland","0.59","0.13"
"Falling in Reverse","New-York","0.96","0.05"
"Metallica","Clown","1.09","0.04"
"Korn","Nice boobs","1.41","0.07"
"IAMX","I don't want this","1.42","0.12"
"Caligula's Horse","Anymore","1","0.21"
"Каста","Rufuss","1.15","0.17"
"Oxxymiron","Mann","1.1","0.27"
"Nirvana","Stupid things","1.48","0.06"
"AC/DC","You're strange","0.34","0.03"
"Led Zeppelin","Zombie","1.06","0.07"
"Led Zeppelin","Plague","1.53","0.16"
"Deep Purple","No more","0.56","0.37"
"Michael Jackson","Спокойная ночь","1.51","0.12"
"Muse","Моя игра","0.86","0.17"
"Skrillex","Smells like Teen Spirit","0.92","0.06"
"Slipknot","Highway to Hell","0.73","0.22"
"Stone Sour","Smoke on the Water","0.87","0.2"
"Avenged Sevenfold","Brick in the Wall","0.76","0.2"
"Three Days Grace","You are not Alone","1.03","0.09"
"Apocalyptica","Hysteria","0.94","0.25"
"Lumen","Kill Everybody","0.26","0.03"
"Biffy Clyro","Unsainted","1.06","0.18"
"Alazka","Through the Glass","0.72","0.02"
"Greenday","Afterlife","1.14","0.19"
"Ozzy Osbourne","Animal I have become","1.3","0.17"
"Body Count","Fever","0.77","0.31"
"Heaven Shall Burn","Anastasia","1.08","0.17"
"Blind Channel","Raining Blood","1.03","0.09"
"A War Within","Bleeding","0.59","0.32"
"Mayday Parade","Smells like Teen Spirit","0.73","0.22"
"Silverstein","Highway to Hell","1.56","0.18"
"Apocalyptica","Smoke on the Water","0.21","0.04"
"Lumen","Brick in the Wall","1.05","0.26"
"Biffy Clyro","You are not Alone","1.37","0.08"
"Alazka","Hysteria","0.92","0.24"
"Greenday","Kill Everybody","0.25","0.03"
"Michael Jackson","Unsainted","0.89","0.21"
"Muse","Through the Glass","1.42","0.07"
"Skrillex","Afterlife","0.47","1.33"
"Slipknot","Animal I have become","0.96","0.09"
"Stone Sour","Fever","0.22","0.14"
"Avenged Sevenfold","Anastasia","0.53","0.1"
"Three Days Grace","Raining Blood","0.73","0.12"
"Bullet for my Valentine","Bleeding","0.87","0.06"
"Slash","Smells like Teen Spirit","1.75","0.08"
"Slayer","Highway to Hell","1.12","0.02"
"Five Finger Death Punch","Smoke on the Water","0.94","0.1"
"Fozzy","Brick in the Wall","1.37","0.04"
"Bon Jovi","You are not Alone","0","0.49"
"Motionless in White","Hysteria","0.64","0.29"
"Falling in Reverse","Kill Everybody","0.91","0.24"
"Metallica","Unsainted","1.34","0.15"
"Korn","Through the Glass","0.62","0.12"
"IAMX","Afterlife","0.85","0.16"
"Oxxymiron","Animal I have become","0.61","0.11"
"Nirvana","Fever","1.33","0.03"
"AC/DC","Anastasia","0.83","0.2"
"Led Zeppelin","Raining Blood","1.26","0.06"
"Led Zeppelin","Bleeding","0.8","0.03"
"Deep Purple","Smells like Teen Spirit","1.05","0.23"
"Michael Jackson","Highway to Hell","0","0.33"
"Muse","Smoke on the Water","0.97","0.18"
"Skrillex","Brick in the Wall","1.53","0.25"
"Slipknot","You are not Alone","0.83","0"
"Stone Sour","Hysteria","1.31","0.03"
"Avenged Sevenfold","Kill Everybody","0.84","0.23"
"Alazka","Unsainted","1.33","0.07"
"Greenday","Through the Glass","0.46","0.28"
"Ozzy Osbourne","Afterlife","0.25","0.02"
"Body Count","Animal I have become","1.09","0.17"
"Heaven Shall Burn","Fever","0.92","0.05"
"Blind Channel","Anastasia","0.61","0.09"
"A War Within","Raining Blood","1.24","0.12"
"Mayday Parade","Bleeding","1.73","0.02"
"Silverstein","Smells like Teen Spirit","1.81","0"
"Apocalyptica","Highway to Hell","0.91","0.09"
"Captives","Smoke on the Water","0.22","0.03"
"Nightwish","Brick in the Wall","0.55","0.31"
"Moonspell","You are not Alone","1.05","0.18"
"Machine Head","Hysteria","1.1","0.08"
"Machine Head","Kill Everybody","0.78","0.04"
"Viscera","Unsainted","0.88","0.23"
"Phantogram","Through the Glass","1","0.77"
"Ivy Rye","Silverstein","0.93","0.07"
"Boston Manor","Apocalyptica","1.66","0.13"
"PVRIS","Captives","1.41","0.16"
"Fever 335","Nightwish","1","0.12"
"Asking Alexandria","Moonspell","0.49","0.27"
"Bush","Machine Head","1.26","0.06"
"He-Nis-Ra","Machine Head","0.52","0.34"
"Nova Twins","Viscera","1.05","0.14"
"Nirvana","Phantogram","1.25","0.24"
"AC/DC","Ivy Rye","0.23","0.03"
"Led Zeppelin","Boston Manor","1.12","0.08"
"Deep Purple","PVRIS","0.39","0.36"
"Michael Jackson","Fever 333","0.32","0.14"
"Muse","Asking Alexandria","0.45","0.33"
"Skrillex","Bush","0.41","0.19"
"Slipknot","He-Nis-Ra","0.93","0.13"
"Stone Sour","Nova Twins","0.85","0.16"
"Avenged Sevenfold","Kill Everybody","1.16","0.16"
"Three Days Grace","Unsainted","0.31","0.08"
"Bullet for my Valentine","Through the Glass","1.59","0.15"
"Slash","Afterlife","0.24","0.12"
"Slayer","Animal I have become","0.63","0.04"
"Five Finger Death Punch","Fever","1.19","0.06"
"Fozzy","Anastasia","1.07","0.24"
"Bon Jovi","Raining Blood","0.85","0.04"
"Motionless in White","Bleeding","1.27","0.07"
"Falling in Reverse","Smells like Teen Spirit","1.06","0.16"
"Metallica","Highway to Hell","0.93","0.06"
"Korn","Smoke on the Water","1.02","0.07"
"IAMX","Brick in the Wall","0.53","0.02"
"Caligula's Horse","You are not Alone","0.86","0.22"
"The Killers","Hysteria","1.23","0.07"
"Halfives","Kill Everybody","0.86","0.22"
"Blueshift","Unsainted","0.72","0.31"
"Soilwork","Through the Glass","0.68","0.17"
"Soul Extract","Silverstein","1.26","0.03"
"Infant Annihilator","Apocalyptica","1.11","0.16"
"Red","Captives","0.52","0.29"
"Ocean Grove","Nightwish","0.35","0.32"
"Stigmata","Moonspell","0.61","0.26"
"Кино","Machine Head","1.68","0.04"
"Баста","Machine Head","0.9","0.24"
"Каста","Viscera","1.24","0.07"
"Oxxymiron","Phantogram","0.06","0.27"
"Emmure","Ivy Rye","1","0.18"
"RAMMSTEIN","Boston Manor","0.7","0.01"
"Emograte","PVRIS","0.94","0.27"
"Oomph!","Fever 334","0.79","0.02"
"Fit for a King","Asking Alexandria","0.83","0.18"
"Code Orange","Bush","0.85","0.22"
"Aviators","He-Nis-Ra","1.25","0.03"
"Kodaline","Nova Twins","0.72","0.1"
"Led Zeppelin","Kill Everybody","0.63","0.17"
"Deep Purple","Unsainted","0.83","0.25"
"Michael Jackson","Through the Glass","1.19","0.16"
"Muse","Afterlife","0.69","0.14"
"Ocean Grove","Animal I have become","0.96","0.16"
"Stigmata","Fever","1.69","0.01"
"Кино","Anastasia","1.66","0.04"
"Баста","Raining Blood","0.49","0.3"
"Bullet for my Valentine","Bleeding","0.59","0.27"
"Slash","Smells like Teen Spirit","0.67","0.27"
"Slayer","Highway to Hell","0.85","0.22"
"Five Finger Death Punch","Smoke on the Water","0.64","0.26"
"Fozzy","Brick in the Wall","1.48","0.05"
"Bon Jovi","You are not Alone","0.94","0.07"
"Motionless in White","Hysteria","1.15","0.14"
"Falling in Reverse","Kill Everybody","0.95","0.08"
"The Killers","Unsainted","1.06","0.14"
"Halfives","Through the Glass","0.85","0.22"
"Blueshift","Silverstein","0.61","0.27"
"Soilwork","Apocalyptica","0.66","0.28"
"Soul Extract","Captives","0.61","0.94"
"Infant Annihilator","Nightwish","0.7","0.19"
"Red","Moonspell","0.41","0.33"
"Ocean Grove","Machine Head","1.61","0.08"
"Stigmata","Machine Head","0.8","0.15"
"Кино","Viscera","0.59","0.25"
"Баста","Phantogram","1.43","0.12"
"Каста","Ivy Rye","0.99","0.08"
"Oxxymiron","Boston Manor","1.15","0.15"
"Motionless in White","PVRIS","0.88","0.18"
"Falling in Reverse","Fever 335","1.09","0.07"
"The Killers","Asking Alexandria","0","0"
"Halfives","Bush","1.25","0.06"
"Каста","He-Nis-Ra","1.58","0.12"
"Oxxymiron","Nova Twins","0.34","0.26"
"Motionless in White","Kill Everybody","0.23","1.23"
"Каста","Unsainted","0.99","0.15"
"Oxxymiron","Through the Glass","0.49","0.09"
"Motionless in White","Afterlife","0.62","0.08"
"Каста","Animal I have become","0","0.01"
"Oxxymiron","Fever","0.69","0.19"
"Nirvana","Anastasia","1.41","0.23"
"AC/DC","Raining Blood","1.22","0.1"
"Led Zeppelin","Bleeding","1.36","0.15"
"Led Zeppelin","Smells like Teen Spirit","0.88","0.25"
"Deep Purple","Highway to Hell","1.01","0.14"
"Michael Jackson","Smoke on the Water","0.94","0.11"
"Muse","Brick in the Wall","0.96","0.22"
"Skrillex","You are not Alone","0.55","0.13"
"Slipknot","Hysteria","1.37","0.02"
"Stone Sour","Kill Everybody","1.1","0.07"
"Avenged Sevenfold","Unsainted","0.87","0.08"
